date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:35	102/102	---M-Z	200	added ('OK')	text/plain	etag:%22247b2d3b03b10e0ceaca909435ce5b52%22	https://folioblox.framer.website/robots.txt		(from )
22:18:35	856645/856645	---M-Z	200	added ('OK')	text/html	etag:%221b10fb88b87576caafe04750002ca32f%22	https://folioblox.framer.website/	C:/My%20Web%20Sites/Website/folioblox.framer.website/index.html	(from )
22:18:35	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/My%20Web%20Sites/Website/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://folioblox.framer.website/)
22:18:35	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/My%20Web%20Sites/Website/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://folioblox.framer.website/)
22:18:35	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/My%20Web%20Sites/Website/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://folioblox.framer.website/)
22:18:36	415875/415875	---M-Z	200	added ('OK')	text/html	etag:%2291dc9518cc3ce360398198c649ce820a%22	https://folioblox.framer.website/about	C:/My%20Web%20Sites/Website/folioblox.framer.website/about.html	(from https://folioblox.framer.website/)
22:18:36	330970/330970	---M-Z	200	added ('OK')	text/html	etag:%22d4c059f8827cc274cbab043cc57ae3f3%22	https://folioblox.framer.website/projects	C:/My%20Web%20Sites/Website/folioblox.framer.website/projects.html	(from https://folioblox.framer.website/)
22:18:37	295618/295618	---M-Z	200	added ('OK')	text/html	etag:%22a6f59d57222c8fa3a72f43017b4d1d63%22	https://folioblox.framer.website/contact	C:/My%20Web%20Sites/Website/folioblox.framer.website/contact.html	(from https://folioblox.framer.website/)
22:18:37	731850/731850	---MC-	200	added ('OK')	image/png	etag:%2263c1576fc05ee31ccdb155bde834b59a%22	https://framerusercontent.com/images/4ygVN2ocITRpp7i9eGqyiHBOg.png	C:/My%20Web%20Sites/Website/framerusercontent.com/images/4ygVN2ocITRpp7i9eGqyiHBOg.png	(from https://folioblox.framer.website/)
22:18:37	6163/6163	---MC-	200	added ('OK')	image/png	etag:%22f0b580b7810c16b0d7eaf63bea39f6ea%22	https://framerusercontent.com/images/AiCw18EuS3LEiWfyygW6If5Pgpg.png	C:/My%20Web%20Sites/Website/framerusercontent.com/images/AiCw18EuS3LEiWfyygW6If5Pgpg.png	(from https://folioblox.framer.website/)
